"name";"count"
"CALIERCORTIN";1
"ADTAB GATO";2
"NICILAN";1
"FORTEKOR SABOR";1
"CONOFITE";1
"OTOCLEAN LIMPIADOR";1
"OXISPEED";1
"OTINET";1
"IRC-VET";1
"PAÑO BUSTER POLIETILENO";3
"CANINSULIN";1
"GLUCANTIME";1
"LUBRITHAL";1
"CLEAN AURAL CANINO";1
"T-61";1
"SCALIBOR GDE";1
"SCALIBOR PEQ";1
"DEXABIOPEN";1
"DEPO-MODERIN";1
"CONTENEDOR PARA MUESTRAS";2
"AGUJA STERICAN AMARILLA";1
"AGUJA STERICAN AZUL";1
"AGUJA STERICAN NARANJA";1
"JERINGA INJEKT";1
"DISCOFIX C/ALARGADERA";1
"PROPOFOL LIPURO";1
"ESPARADRAPO OMNIPLAST";1
"VENDA ELASTICA LASTOTEL";1
"VETREGUL GEL";1
"HYALORAL RZ GDES Y GIGAN";2
"LEVENTA";1
"VETORYL";1
"SEDIN";1
"OMNIMATRIX";1
"MELOXIDYL GATO";2
"DAFORTE";2
"ANIMA STRATH TOMILLO";1
"HYALORAL CACHORRO Y GATO";1
"SEMINTRA";1
"BRAVECTO";4
"CARPROX";1
"CONTINENZA";1
"LIBEO";1
"MELOXIDYL GATO oral";1
"ZODON PERRO Y GATO ORAL";1
"LACRISTAL NEO";1
"VERSICAN PLUS DHPPIL4R";1
"VERSICAN PLUS DHPPIL4";1
"SIMPARICA PERROS";3
"FORTEKOR PLUS";1
"PREDNICORTONE";2
"LETIFEND LEISHMANIA";1
"CARPRODYL QUADRI";2
"SOLIPHEN";1
"BUTOMIDOR";1
"TUSHEEL JARABE";1
"STRONGHOLD PLUS GATO";1
"PROLONGADOR REGULADOR";1
"MERLIN";1
"NACOTIL";1
"CANINE GASTROINTESTINAL BIOME";1
"VECTRA 3D PERRO";3
"SIMPARICA TRIO PERROS";3
"ZELYS";1
"OMNICARDIO PLUS";1
"PLASMORAL DIGEST RZ PEQ Y MED";1
"PLASMORAL DIGEST RZ GDE Y GIGAN";1
"EMPAPADORES MEDLINE";1
"SANICAT CLUMPING VAINILLA-MANDARINA";1
"PROPLAN FELINE HYDRA-CARE HYDRAT";1
"DESINCLOR CLORHEXIDINA ACUOSA";1
"LIBRELA";1
"DEXACORTONE";2
"CANINE I/D STEW POLLO-VEGETALES";1
"PLAQTIV+ ADITIVO PARA EL AGUA";1
"HEPATOSIL PLUS RAZAS PEQUEÑAS";1
"HEPATOSIL PLUS RAZAS MEDIANAS";1
"VETILEA GASTRO GEL";1
"HEPATOSIL PLUS RAZAS GRANDES";1
"VETGASTRIL PLUS";2
"IRC-VET GEL PERRO GATO";1
"DERMIPRED";1
